lat,lng,Country,Province
-8.579542217,13.65998246,Angola,Bengo
-8.189591859,15.37000728,Angola,Cuanza Norte
-9.299549948,14.90998368,Angola,Cuanza Norte
-10.72959186,14.97995357,Angola,Cuanza Sul
-9.999610577,14.90001013,Angola,Cuanza Sul
-11.35952757,15.1199967,Angola,Cuanza Sul
-7.349591452,14.84998734,Angola,Uíge
-6.269605694,14.23999874,Angola,Zaire
-7.229598776,12.86003129,Angola,Zaire
-6.129614239,12.36998368,Angola,Zaire
-5.55962319,12.18999467,Angola,Cabinda
-11.31958169,16.19998246,Angola,Bié
-12.01959064,17.46998246,Angola,Bié
-13.03958006,14.23999874,Angola,Benguela
-15.7895414,20.36003861,Angola,Cuando Cubango
-15.15960569,19.16998205,Angola,Cuando Cubango
-17.36954832,22.99998083,Angola,Cuando Cubango
-17.06961831,15.73003699,Angola,Cunene
-17.31962889,13.92001827,Angola,Cunene
-15.74959552,14.0800085,Angola,Huíla
-15.1896297,13.69000647,Angola,Huíla
-14.82954832,14.55000565,Angola,Huíla
-10.7095414,22.23000199,Angola,Moxico
-13.69959145,19.86001745,Angola,Moxico
-14.09961871,21.44002437,Angola,Moxico
-11.88957273,22.90003861,Angola,Moxico
-7.380028871,20.82998409,Angola,Lunda Norte
-7.85498696,13.12502803,Angola,Bengo
-9.690017071,14.43001298,Angola,Cuanza Norte
-11.21002765,13.8499967,Angola,Cuanza Sul
-7.620014222,15.04997514,Angola,Uíge
-12.38003375,16.93998897,Angola,Bié
-12.37000853,13.54123002,Angola,Benguela
-16.74002602,14.96998002,Angola,Cunene
-11.79004393,19.90001501,Angola,Moxico
-15.80003172,11.85998897,Angola,Namibe
-9.540000388,16.34002559,Angola,Malanje
-12.57826455,13.40723303,Angola,Benguela
-14.91000853,13.49001868,Angola,Huíla
-15.19004311,12.16002234,Angola,Namibe
-14.66661253,17.69999426,Angola,Cuando Cubango
-12.74998533,15.76000932,Angola,Huambo
-8.838286114,13.23442704,Angola,Luanda
-62.17388669,-58.86386407,Antarctica,
-62.49950682,-59.68331852,Antarctica,
-64.23288939,-56.6500153,Antarctica,
-74.61919259,164.2190271,Antarctica,
-67.5647756,-68.12354055,Antarctica,
-64.76241335,-64.0468756,Antarctica,
-62.18274357,-58.90765233,Antarctica,
-62.22414386,-58.65047599,Antarctica,
-62.2248534,-58.77159876,Antarctica,
-62.21631997,-58.9666956,Antarctica,
-62.19496251,-58.95266582,Antarctica,
-61.99958901,-57.99998458,Antarctica,
-77.84693819,166.7491023,Antarctica,
-77.73228239,166.8694157,Antarctica,
-69.43406299,76.33929808,Antarctica,
-78.46628416,106.8000337,Antarctica,
-68.83286701,90.49999508,Antarctica,
-66.57552952,93.00628846,Antarctica,
-67.61452032,62.87500073,Antarctica,
-68.77767439,78.14073509,Antarctica,
-74.66630939,124.1670357,Antarctica,
-66.28608614,110.536214,Antarctica,
-89.98289386,139.2669926,Antarctica,
-73.0496122,-13.41671106,Antarctica,
-72.01629026,2.533323119,Antarctica,
-74.58290363,-11.21669031,Antarctica,
-71.30123475,-11.8502129,Antarctica,
-70.89039668,-7.838438004,Antarctica,
-70.7821796,11.7304584,Antarctica,
-76.09226319,-26.4741567,Antarctica,
-77.86632078,-34.61668319,Antarctica,
-81.17908472,-40.50153152,Antarctica,
-75.04959349,-13.41671106,Antarctica,
-68.1163216,-67.0999976,Antarctica,
-63.32841823,-57.88959352,Antarctica,
-63.37532865,-57.02590151,Antarctica,
-60.7328963,-44.73330082,Antarctica,
-60.63130815,-45.60070332,Antarctica,
-66.77505091,139.9636836,Antarctica,
-69.03039249,39.7460831,Antarctica,
17.11803652,-61.85003382,Antigua and Barbuda,
-51.65003986,-72.30001612,Argentina,Santa Cruz
-48.76659829,-70.25001205,Argentina,Santa Cruz
-49.97454865,-68.90347273,Argentina,Santa Cruz
-45.68337563,-70.26657434,Argentina,Chubut
-45.03328611,-70.83328394,Argentina,Chubut
-42.05000568,-71.16662276,Argentina,Chubut
-42.77001341,-65.04001998,Argentina,Chubut
-43.25003579,-65.3299506,Argentina,Chubut
-32.82503904,-68.80167668,Argentina,Mendoza
-33.06998533,-68.49001612,Argentina,Mendoza
-32.59311522,-69.34598454,Argentina,Mendoza
-38.94001463,-69.24002202,Argentina,Neuquén
-38.87996662,-62.0799681,Argentina,Ciudad de Buenos Aires
-33.33002114,-60.24000289,Argentina,Ciudad de Buenos Aires
-34.15999632,-58.95997766,Argentina,Ciudad de Buenos Aires
-34.65004393,-60.48998763,Argentina,Ciudad de Buenos Aires
-34.66001748,-59.44002588,Argentina,Ciudad de Buenos Aires
-34.88000405,-61.53994938,Argentina,Ciudad de Buenos Aires
-34.89995115,-60.03998926,Argentina,Ciudad de Buenos Aires
-35.42999632,-60.17998071,Argentina,Ciudad de Buenos Aires
-35.44596434,-60.88998906,Argentina,Ciudad de Buenos Aires
-36.33004474,-57.68997766,Argentina,Ciudad de Buenos Aires
-39.48334064,-62.68331629,Argentina,Ciudad de Buenos Aires
-38.3699719,-60.26994938,Argentina,Ciudad de Buenos Aires
-37.46661619,-61.9166189,Argentina,Ciudad de Buenos Aires
-37.83331216,-58.24999516,Argentina,Ciudad de Buenos Aires
-37.80003253,-67.68329533,Argentina,Río Negro
-39.01995807,-67.60996647,Argentina,Río Negro
-41.03332355,-70.26657434,Argentina,Río Negro
-41.30002562,-69.58330855,Argentina,Río Negro
-40.10004718,-64.43328699,Argentina,Río Negro
-39.26660968,-65.68331405,Argentina,Río Negro
-31.43003375,-62.08996749,Argentina,Córdoba
-31.65999388,-64.4299797,Argentina,Córdoba
-32.41002562,-63.26002527,Argentina,Córdoba
-32.60003986,-62.67995732,Argentina,Córdoba
-32.18332111,-64.48328394,Argentina,Córdoba
-31.42000853,-64.50000126,Argentina,Córdoba
-28.86662433,-66.23330632,Argentina,Catamarca
-28.06662148,-67.56658411,Argentina,Catamarca
-22.7166638,-65.6999797,Argentina,Jujuy
-23.19999347,-65.34994938,Argentina,Jujuy
-23.41667275,-66.4833169,Argentina,Jujuy
